Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
7.281,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,1,,,START
8.407,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,1,,,STOP
8.604,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,1,,,START
9.933,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,1,,,STOP
14.313,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,2,,,START
16.037,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,2,,,STOP
17.637,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,2,,,START
19.365,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,2,,,STOP
19.601,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,5,,,START
21.681,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,5,,,STOP
21.989,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,2,,,START
22.979,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,2,,,STOP
28.545,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,2,,,START
42.907,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,2,,,STOP
44.398,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,2,,,START
72.926,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,2,,,STOP
72.985,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,5,,,START
73.705,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,5,,,STOP
73.819,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,2,,,START
74.650,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,2,,,STOP
75.399,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,2,,,START
89.112,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,2,,,STOP
90.504,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,2,,,START
90.818,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,2,,,STOP
92.474,/Users/GundamOO/Downloads/Exp39-Kinect-video.mp4,864.500,30,,2,,,START
